review_id,reviewer_name,title,rating,date,content
review_207108309,"kevin rCedar Falls, Iowa191Great funReview ofSt. Paul History TourReviewed May 26, 2014via mobileThis is something we wanted to do for a long time. We got our chance and can't wait to go again. Once you get a hang of it totally awesome plus you learn a lot about the city. Do it you will be glad you did!!!!!!>>Ask kevin r about St. Paul History TourThank kevin rThis review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read ourtransparency reportto learn more.See all 117 reviews",Great fun,5.0,,This is something we wanted to do for a long time. We got our chance and can't wait to go again. Once you get a hang of it totally awesome plus you learn a lot about the city. Do it you will be glad you did!!!!!!
review_498984770,"Ric A2Great fun! Magical History Tour.Review ofSt. Paul History TourReviewed July 5, 2017via mobileWe have always wanted to ride a Segway and on July 4th we had the opportunity. Our guides Rachel, Ray and Julia were awesome!!They taught us how to ride a Segway and feel comfortable. The history of downtown Minneapolis was fun and educational. The tour was 3 1/2 hours long and even included a break with a snack. They even take pictures for you. I would definitely recommend taking this tour.Date of experience:July 2017Ask Ric A about St. Paul History TourThank Ric AThis review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read ourtransparency reportto learn more.See all 117 reviews",Great fun! Magical History Tour.,5.0,Date of experience:July 2017,"We have always wanted to ride a Segway and on July 4th we had the opportunity. Our guides Rachel, Ray and Julia were awesome!!They taught us how to ride a Segway and feel comfortable. The history of downtown Minneapolis was fun and educational. The tour was 3 1/2 hours long and even included a break with a snack. They even take pictures for you. I would definitely recommend taking this tour."
review_307968306,"Edmundo_de_ABQAlbuquerque, New Mexico758315Lot's of funReview ofSt. Paul History TourReviewed September 7, 2015My wife and I were lucky because the two of us went out together with only a guide so it was very private and enjoyable.  The tour itself lasted about 2 hrs but we saw many, many sights.  Riding along on the Segway is a brilliant way to tour.....once you get the hang of it you drive it like it's second nature.  I highly recommend this tourDate of experience:September 2015Ask Edmundo_de_ABQ about St. Paul History TourThank Edmundo_de_ABQThis review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read ourtransparency reportto learn more.See all 117 reviews",Lot's of fun,5.0,Date of experience:September 2015,"My wife and I were lucky because the two of us went out together with only a guide so it was very private and enjoyable.  The tour itself lasted about 2 hrs but we saw many, many sights.  Riding along on the Segway is a brilliant way to tour.....once you get the hang of it you drive it like it's second nature.  I highly recommend this tour"
review_688482543,"XmasdaysCorpus Christi, Texas3Refreshing Way to get to Know The Mill CityReview ofSt. Paul History TourReviewed July 10, 2019Being the very first official Segway tour provider in the US of A is their claim to fame ... and it shows.  My wife and I are professional Segway tourists and we agree that this has been our best tour so far. Andrea and Ray were fabulous guides.  These two outstanding individuals made sure that every member of our group was comfortable operating the equipment.  Safety was always underscored through our 3 hr. journey.  Both guides’ knowledge about the City’s history and their ability to convey it in an interesting and fun way made for a very pleasant learning experience.  If you plan to visit Minneapolis for the first time this is definitely a “Must Do” item ... the Tour du Jour! If you do it during the Summer, as we did, do the morning session.  Enjoy!!!Date of experience:July 2019Ask Xmasdays about St. Paul History TourThank XmasdaysThis review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read ourtransparency reportto learn more.humanonastick, Public Relations Manager at St. Paul History Tour, responded to this reviewResponded July 14, 2019Thank you for riding with us! Safety is very important to us, so thank you for that feedback! Professional segway tourists- Wow! Come again if you are ever in town!Report response as inappropriateThank you. We appreciate your input.This response is the subjective opinion of the management representative and not of TripAdvisor LLC.See all 117 reviews",Refreshing Way to get to Know The Mill City,5.0,Date of experience:July 2019,"Being the very first official Segway tour provider in the US of A is their claim to fame ... and it shows.  My wife and I are professional Segway tourists and we agree that this has been our best tour so far. Andrea and Ray were fabulous guides.  These two outstanding individuals made sure that every member of our group was comfortable operating the equipment.  Safety was always underscored through our 3 hr. journey.  Both guides’ knowledge about the City’s history and their ability to convey it in an interesting and fun way made for a very pleasant learning experience.  If you plan to visit Minneapolis for the first time this is definitely a “Must Do” item ... the Tour du Jour! If you do it during the Summer, as we did, do the morning session.  Enjoy!!!"
review_236443593,"453christymMinneapolis, Minnesota11A gift for yourself or those tough-to-buy-for relatives!Review ofSt. Paul History TourReviewed October 26, 2014On a perfect Minnesota fall day we took the Magical History Tour of the Minneapolis Riverfront. As novice riders we all learned quickly. Our guides made it entertaining, informative and safe. We've lived in Minnesota for 36 years, this was a special highlight and a good value. We plan to give passes as Christmas gifts this year!Date of experience:October 2014Ask 453christym about St. Paul History Tour1Thank 453christymThis review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read ourtransparency reportto learn more.See all 117 reviews",A gift for yourself or those tough-to-buy-for relatives!,5.0,Date of experience:October 2014,"On a perfect Minnesota fall day we took the Magical History Tour of the Minneapolis Riverfront. As novice riders we all learned quickly. Our guides made it entertaining, informative and safe. We've lived in Minnesota for 36 years, this was a special highlight and a good value. We plan to give passes as Christmas gifts this year!"
review_402951386,"417claudekQQ31Just great!Review ofSt. Paul History TourReviewed August 8, 2016via mobileA beautiful day, good Segway training, and a great tour of St Paul. Thomas and Ben did a great job. There were many fascinating details about the history and current state of the capital city.Date of experience:August 2016Ask 417claudek about St. Paul History TourThank 417claudekThis review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read ourtransparency reportto learn more.See all 117 reviews",Just great!,5.0,Date of experience:August 2016,"A beautiful day, good Segway training, and a great tour of St Paul. Thomas and Ben did a great job. There were many fascinating details about the history and current state of the capital city."
review_388860901,"Dennis CMinneapolis, Minnesota3Satisfied and contentReview ofSt. Paul History TourReviewed July 3, 2016The tour was very informative, Paul was very knowledgeable and funny. The scenery and path ways were great. Hannah was very attentive to us helping my wife becoming comfortable.Date of experience:July 2016Ask Dennis C about St. Paul History TourThank Dennis CThis review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read ourtransparency reportto learn more.See all 117 reviews",Satisfied and content,5.0,Date of experience:July 2016,"The tour was very informative, Paul was very knowledgeable and funny. The scenery and path ways were great. Hannah was very attentive to us helping my wife becoming comfortable."
review_385331549,"raja1105Gaborone, Botswana51SegwayReview ofSt. Paul History TourReviewed June 23, 2016via mobileEnjoyed fully. Knew lot more about MSP & St. Paul after the tour. The training given at the beginning of the tour on rising Segway was quite useful. They made us to feel comfortable.Date of experience:May 2016>Ask raja1105 about St. Paul History TourThank raja1105This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read ourtransparency reportto learn more.See all 117 reviews",Segway,4.0,Date of experience:May 2016,Enjoyed fully. Knew lot more about MSP & St. Paul after the tour. The training given at the beginning of the tour on rising Segway was quite useful. They made us to feel comfortable.
review_712659459,"Kathy MMinnesota112Great way to see historic Minneapolis.Review ofSt. Paul History TourReviewed September 24, 2019Two friends and I did the Historic Minneapolis tour and  totally enjoyed it.  We were a little hesitant about doing it since we are three 60 year old ladies.  But we were certainly surprised at how much fun and easy it is!!     The weather was perfect and our guides took great care of us!!Date of experience:September 2019Ask Kathy M about St. Paul History TourThank Kathy MThis review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read ourtransparency reportto learn more.See all 117 reviews",Great way to see historic Minneapolis.,5.0,Date of experience:September 2019,Two friends and I did the Historic Minneapolis tour and  totally enjoyed it.  We were a little hesitant about doing it since we are three 60 year old ladies.  But we were certainly surprised at how much fun and easy it is!!     The weather was perfect and our guides took great care of us!!
review_812751645,"Martha K93Do this tour!Review ofSt. Paul History TourReviewed October 2, 2021Andy S was a fantastic guide and made our four hours fun, interesting and engaging!  We live 15 miles from St. Paul, but we felt like we were on vacation!Date of experience:September 2021>Ask Martha K about St. Paul History TourThank Martha KThis review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read ourtransparency reportto learn more.See all 117 reviews",Do this tour!,5.0,Date of experience:September 2021,"Andy S was a fantastic guide and made our four hours fun, interesting and engaging!  We live 15 miles from St. Paul, but we felt like we were on vacation!"
