review_id,reviewer_name,title,rating,date,content
review_411857544,"David TMaplewood, Minnesota2Great time.....and educationalReview ofMagical History TourReviewed August 28, 2016Segways are an easy and fun way to get around.  Paul and Lacey were great tour guides who were a wealth of information. This was our first experience on Segways and we are already talking about our next Segway adventure.Date of experience:August 2016Ask David T about Magical History TourThank David TThis review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read ourtransparency reportto learn more.See all 490 reviews",Great time.....and educational,5.0,Date of experience:August 2016,Segways are an easy and fun way to get around.  Paul and Lacey were great tour guides who were a wealth of information. This was our first experience on Segways and we are already talking about our next Segway adventure.
review_419239875,"leavingarizonahighland ranch, co1Excellent Adventure!Review ofMagical History TourReviewed September 16, 2016via mobileThis was beyond my expectations!!!  My first time on a Segway and loved it!  Paul and Emma were our guides and were extremely knowledgeable and professional!  I would go again!Date of experience:September 2016>Ask leavingarizona about Magical History TourThank leavingarizonaThis review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read ourtransparency reportto learn more.See all 490 reviews",Excellent Adventure!,5.0,Date of experience:September 2016,This was beyond my expectations!!!  My first time on a Segway and loved it!  Paul and Emma were our guides and were extremely knowledgeable and professional!  I would go again!
review_233046534,"ErinBOakParkOak Park, California1Amazing Minneapolis River Tour!Review ofMagical History TourReviewed October 7, 2014While in town for a wedding, we decided to try out the Magical History Segway Tour along the riverfront. It was absolutely amazing!  We had a blast just riding the segways around town, but also learned so much about the history of the area. All of the guides were incredibly helpful and informative which made the trip that much more enjoyable. This is at the top of my list for my next visit to the Twin Cities and I can't wait to bring local family & friends along for the tour!  A special thanks to Ben Kise, our photographer, who took great photos of our group and entertained everyone throughout the entire day!Date of experience:September 2014>Ask ErinBOakPark about Magical History TourThank ErinBOakParkThis review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read ourtransparency reportto learn more.See all 490 reviews",Amazing Minneapolis River Tour!,5.0,Date of experience:September 2014,"While in town for a wedding, we decided to try out the Magical History Segway Tour along the riverfront. It was absolutely amazing!  We had a blast just riding the segways around town, but also learned so much about the history of the area. All of the guides were incredibly helpful and informative which made the trip that much more enjoyable. This is at the top of my list for my next visit to the Twin Cities and I can't wait to bring local family & friends along for the tour!  A special thanks to Ben Kise, our photographer, who took great photos of our group and entertained everyone throughout the entire day!"
review_801462325,"St93vqmp2Great way to see and learn about Minneapolis!Review ofMagical History TourReviewed August 3, 2021Fabulous way to see and learn about Minneapolis,  Paul and Sally were great.  They give you a few training tips, then some practice time and then you are all set.  Extremely easy to operate.  Highly recommend the experience.Date of experience:August 2021Ask St93vqmp about Magical History TourThank St93vqmpThis review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read ourtransparency reportto learn more.humanonastick, General Manager at Magical History Tour, responded to this reviewResponded August 14, 2021Thank you! We're glad you had a good time.  It's amazing how quickly people can pick up operating the Segway.Report response as inappropriateThank you. We appreciate your input.This response is the subjective opinion of the management representative and not of TripAdvisor LLC.See all 490 reviews",Great way to see and learn about Minneapolis!,5.0,Date of experience:August 2021,"Fabulous way to see and learn about Minneapolis,  Paul and Sally were great.  They give you a few training tips, then some practice time and then you are all set.  Extremely easy to operate.  Highly recommend the experience."
review_638932842,"Karyn PMetro Minneapolis-Saint Paul, Minnesota3Segway History TourReview ofMagical History TourReviewed December 11, 2018via mobileGreat fun once you master the Segway.  You need a little balancing, ability to go front & back, and you need to know your left from your right.  Even if you live in the area you can still learn a few new facts.Date of experience:August 2018Ask Karyn P about Magical History TourThank Karyn PThis review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read ourtransparency reportto learn more.humanonastick, Guest Relations Manager at Magical History Tour, responded to this reviewResponded July 14, 2019Thanks for riding with us, Karyn! Come join us on another tour if you are close by, we would love to have you!Report response as inappropriateThank you. We appreciate your input.This response is the subjective opinion of the management representative and not of TripAdvisor LLC.See all 490 reviews",Segway History Tour,5.0,Date of experience:August 2018,"Great fun once you master the Segway.  You need a little balancing, ability to go front & back, and you need to know your left from your right.  Even if you live in the area you can still learn a few new facts."
review_428835859,"mnbiker76Fort Myers, Florida6341Great timeReview ofMagical History TourReviewed October 17, 2016via mobileI am a lifelong Minnesotan and I learned some things!  At first I was not sure about riding a segway but after a few minutes it was pretty simple. The fall colors were out and the weather perfect. I think we saw a dozen weddings on our tour.If you are on the fence about doing this please consider this .  It was truly a fun afternoonDate of experience:October 2016>>Ask mnbiker76 about Magical History TourThank mnbiker76This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read ourtransparency reportto learn more.See all 490 reviews",Great time,5.0,Date of experience:October 2016,I am a lifelong Minnesotan and I learned some things!  At first I was not sure about riding a segway but after a few minutes it was pretty simple. The fall colors were out and the weather perfect. I think we saw a dozen weddings on our tour.If you are on the fence about doing this please consider this .  It was truly a fun afternoon
review_291608738,"Susan MAthens, Georgia141Kick off your visitReview ofMagical History TourReviewed July 22, 2015This an awesome way to start a visit to Minneapolis learning how it started. The staff was fabulous, knowledgeable, and a whole lot of fun. I would say this was my favorite thing I did during my visit to Minneapolis. Wish I had been able to take all of the tours this company offers. A+Date of experience:July 2015>Ask Susan M about Magical History TourThank Susan MThis review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read ourtransparency reportto learn more.See all 490 reviews",Kick off your visit,5.0,Date of experience:July 2015,"This an awesome way to start a visit to Minneapolis learning how it started. The staff was fabulous, knowledgeable, and a whole lot of fun. I would say this was my favorite thing I did during my visit to Minneapolis. Wish I had been able to take all of the tours this company offers. A+"
review_705374006,"jerryp69Virginia, Minnesota1Great Historical sightsReview ofMagical History TourReviewed September 1, 2019via mobileWe did the St Paul History tour with tour guides Thomas and Chris. We enjoyed seeing the hidden sights of St Paul on Summit Avenue and Thomas’s great storytelling capabilities. Chris was great as well! Loved it!Date of experience:September 2019Ask jerryp69 about Magical History TourThank jerryp69This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read ourtransparency reportto learn more.humanonastick, Public Relations Manager at Magical History Tour, responded to this reviewResponded September 3, 2019Thomas and Chris are two of our best guides!  Thanks for riding with us.  Thank you for your positive review.  We hope to see you again soon- maybe on a Minneapolis tour this time!Report response as inappropriateThank you. We appreciate your input.This response is the subjective opinion of the management representative and not of TripAdvisor LLC.See all 490 reviews",Great Historical sights,5.0,Date of experience:September 2019,We did the St Paul History tour with tour guides Thomas and Chris. We enjoyed seeing the hidden sights of St Paul on Summit Avenue and Thomas’s great storytelling capabilities. Chris was great as well! Loved it!
review_178743763,"mooreruthTideswell, United Kingdom6022Great guides, great tour, great funReview ofMagical History TourReviewed September 26, 2013Really enjoyed my Segway tour of Mill area around the mississippi. Tour guides were knowledgeable, friendly and helpful.Date of experience:September 2013>>>>Ask mooreruth about Magical History TourThank mooreruthThis review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read ourtransparency reportto learn more.See all 490 reviews","Great guides, great tour, great fun",5.0,Date of experience:September 2013,"Really enjoyed my Segway tour of Mill area around the mississippi. Tour guides were knowledgeable, friendly and helpful."
review_138008173,"Mauiartist100Bloomington, Minnesota7540Must do with out of town companyReview ofMagical History TourReviewed August 22, 2012This fun ride has become a must do for me whenever I have friends from out of town.  People who have lived here before learn many things they didn't know and people who never have visited geta great idea of why we all love it here in the Cities.  Don't miss.Date of experience:June 2012Ask Mauiartist100 about Magical History TourThank Mauiartist100This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read ourtransparency reportto learn more.See all 490 reviews",Must do with out of town company,5.0,Date of experience:June 2012,This fun ride has become a must do for me whenever I have friends from out of town.  People who have lived here before learn many things they didn't know and people who never have visited geta great idea of why we all love it here in the Cities.  Don't miss.
